title,summary,body,url
Pilas: el metro amaneció con fallas; hay retrasos en la operación del sistema,El sistema de transporte informó en su cuenta de Twitter que la falla de este viernes se presenta entre Ayurá y Envigado.," Hay fallas de norte a sur en el Metro de Medellín en la mañana de este viernes. Así lo informó el sistema de transporte en su cuenta de Twitter, indicando que la Línea A del metro tendrá retrasos en las frecuencias mientras se solucionan las fallas técnicas. Se trata de una intervención en un riel entre las estaciones Ayurá y Envigado, que está afectando todo el servicio, al punto de que “algunos trenes tendrán que ser evacuados en Poblado”, como lo comunicó el Metro, y los pasajeros deberán abordar el siguiente tren. Así mismo, el Metro de Medellín ha atendido algunas inquietudes de los usuarios y ha precisado que todas las estaciones están en operación. Las fallas están afectando los tiempos de movilidad de los trenes, pero eso no significa que alguna no esté prestando servicio. “La frecuencia se atrasará en toda la línea A”, señaló el metro, apuntando que los retrasos oscilarán entre los 8 y 15 minutos. Varios usuarios han reportado en Twitter largas filas para ingresar a las estaciones y los tumultos para subirse a los trenes.",https://www.elcolombiano.com/antioquia/fallas-en-el-metro-de-medellin-estaciones-ayura-envigado-viernes-21-octubre-AB18916446
¿Ya revisó? Este es el pico y placa para este miércoles en Medellín y el Valle de Aburrá,Recuerde que la multa para quien incumpla con la medida es de $499.500.," Los vehículos particulares con placas finalizadas en 4 y 5 no podrán circular este miércoles por la restricción del pico y placa, la cual también rige para las motos de 2 y 4 tiempos con los mismos números, pero con el primer dígito de la placa. La medida aplica entre las 5:00 de la mañana y las 8:00 de la noche en los 10 municipios del Valle de Aburrá y quienes no la cumplan serán sancionados con una multa de 499.500 pesos, además de la inmovilización de su vehículo. Los taxis también tienen pico y placa en los mismos horarios, pero para los que tienen como último número de su placa el 4, según informaron desde la Secretaría de Movilidad de Medellín. En materia de movilidad, la Secretaría reportó que la ciudad amaneció este jueves con movilidad fluida en sus principales corredores viales.",https://www.elcolombiano.com/antioquia/pico-y-placa-medellin-hoy-miercoles-16-noviembre-2022-BN19143002
Condenan a más de 17 años a hombre que abusaba de su hermana menor,La Fiscalía dijo que aportó pruebas contundentes para lograr la sentencia judicial," La Fiscalía General de la Nación informó que gracias al material probatorio recopilado por sus investigadores, en Medellín un hombre de 24 años fue condenado por haber abusado sexualmente de su hermana, menor de edad. Según el ente investigador, las pruebas fueron tan contundentes que el juez le impuso al victimario una condena de 17 años y 6 meses de prisión como responsable del delito de acceso carnal violento agravado en concurso homogéneo y sucesivo. Según la investigación, adelantada por un fiscal del Centro de Atención Integral a Víctimas de Abuso Sexual (Caivas), “entre junio y agosto de 2017 el procesado realizó tocamientos de connotación sexual a su hermana, de 10 años de edad, con quien vivía en una residencia del barrio Santander, de Medellín”. Los investigadores establecieron que en otras oportunidades el hombre accedió carnalmente a la menor, a quien amenazó con matarla, tanto a ella y a su madre, si revelaba las agresiones de las que era víctima. La defensa del sentenciado apeló la decisión de primera instancia ante la Sala Penal del Tribunal Superior de Medellín.",https://www.elcolombiano.com/antioquia/seguridad/imponen-pena-de-17-anos-y-medio-a-hombre-que-abusaba-sexualmente-de-su-hermana-menor-BM17281707
Así fue como se gestó la paz total del Gobierno de Petro en Medellín,"Desde los tiempos de la campaña presidencial, algunos líderes del Pacto Histórico viajaban a Medellín para buscar acercamientos con los combos de la ciudad."," En una reunión donde nadie se identificó, y que sucedió hace menos de un mes, se decidió que todas las bandas de Medellín entraban en una tregua indefinida: nada de muertes, nada de venganzas, nada de peleas por poder. Fue un acuerdo rápido. Los capos de las grandes estructuras de la ciudad quieren pisar pasito porque todos quieren la “paz total” del presidente Gustavo Petro. Las presiones de paz no solo están en la calle por parte de líderes barriales que cruzan fronteras para salvarles la vida a los muchachos que se meten en líos, también desde las cárceles: excapos de la llamada Oficina se unieron a la carta de los extraditables. Por las calles de Manrique, de San Javier, de Castilla el secreto ya se conoce bien: la tregua es un mandato. Tan organizadas están las bandas esperando la luz verde del gobierno, que las pocas que no habían levantado la mano fueron llamadas al orden hace ocho días por el mismo alto Comisionado de Paz, Danilo Rueda: “Hacemos un llamado en esta región a los Pachelly y a los Caparros para que manifiesten su disposición en apostar a la paz total. El llamado es a que ellos piensen si el ejercicio de la violencia para acumular o proteger riqueza les está generando felicidad y si eso está propiciando un bienestar para ellos mismos y sus familias”. Las palabras de Rueda fueron directas: el resto de bandas ya estaban subidas en la paz. En el caso del Valle de Aburrá: La Oficina, La Terraza, El Mesa, Los Chatas, Los Triana. Justo por estas bandas es que ahora se habla de “Paz Total”, pues las conversaciones con el ELN se daban por sentadas. Todo empezó varios meses antes de las elecciones presidenciales, cuando el Pacto Histórico decidió buscar a las organizaciones civiles de base que negocian diariamente con las bandas en las comunidades urbanas y rurales; a Medellín viajó el abogado Danilo Rueda para conocer cómo era la convivencia en los dominios de la Oficina. Quizá pensando que nadie mueve un voto en las comunas sin la autorización de la misma.  Se encontró con que los procesos de convivencia se fortalecían desde la sociedad civil y no desde los gobiernos. Que eran esas organizaciones las que salvaban vidas. En Medellín encontró a Sinergia, quienes desde hacía 25 años llevaban un trabajo en los barrios de toda el área metropolitana. Fueron ellos quienes le propusieron al exsecretario de Seguridad, Gustavo Villegas —el mismo que usaron los influenciadores del Pacto para atacar a Federico Gutiérrez—, un trabajo barrial en la ciudad, trabajo que él estuvo dispuesto a sacar adelante, pero fue capturado por relaciones con grupos armados; hay que recordar que una de las audiencias la Fiscalía enseñó un audio en el que Villegas le pedía a un capo que le ayudara a liberar un carro de su empresa particular que estaba retenido por no pagar una extorsión. El caso: Sinergia apareció en el camino de la búsqueda de paz del petrismo. Mientras que Daniel Prado buscaba enlaces en las comunidades urbanas de Medellín, Antioquia y el Valle, el hermano del presidente Gustavo Petro, Juan Fernando Petro, se encargaba de visitar a extraditables en las cárceles, tal y como lo reveló el periodista Ricardo Calderón en Noticias Caracol. Allá se vio con varios capos de la Oficina, a quienes la idea no les molestó. Hoy ya sabemos que todos quieren un espacio en la “Paz Total”, como en los tiempos de Pablo Escobar, cualquier cosa es mejor que una tumba en Estados Unidos. Y todo esto demuestra que la “Paz Total” no es un embeleco de última hora. En el caso de Medellín, el trabajo del Movimiento Sinergia es innegable. Muchos de sus integrantes estuvieron en la cárcel, donde hicieron procesos de pacificación y ya en libertad se esforzaron por seguir ese camino. En los barrios se dice que gracias a ellos se han salvado cientos de vidas. Justo en su carta al presidente Petro, la organización criminal Los Pachelly dijo: “Proponemos que el Movimiento Social por la Reconciliación y la Convivencia Sinergia sea la organización de la sociedad civil, que en unión de los delegados del Gobierno Nacional, realicen los acercamientos e interlocución formal con los miembros de nuestra organización”. Parece que Sinergia es la vocera de todas las bandas de la ciudad para la paz.  Sinergia es la única organización que ha trabajado la teoría del “acogimiento a la justicia”, la que finalmente terminó recibiendo y aprobando Daniel Prado y luego el ahora ato Comisionado de la Paz, Danilo Rueda. El “acogimiento” fue bien vista antes por el secretario Gustavo Villegas y estuvo en el despacho del entonces fiscal Néstor Humberto Martínez, esa misma propuesta está en el paquete de la paz que el Gobierno acaba de presentar al Congreso. Dice una parte del documento: “El acogimiento está cimentado en principios sociales, jurídicos y políticos, que da forma a un nuevo pensamiento en la búsqueda de alternativas cuyo foco de atención son las necesidades de víctimas y victimarios para generar un ambiente propicio de reconciliación, donde el sujeto social asume su responsabilidad como infractor al orden jurídico, pero al mismo tiempo el Estado reconoce su culpa en la deuda histórica en torno a la ausencia y la falta de garantías que debió brindarle al sujeto de derecho propiciando en él conductas negativas para trasgredir la norma”. Para algunos senadores que ya tienen el documento en sus manos, la idea del acogimiento no funciona bien, pues ya de entrada hay una culpa que debe asumir el Estado; por otro lado, no queda muy claro cuáles serían las penas para los delincuentes ni mucho menos se considera castigo para delitos que tienen las estructuras urbanas como la extorsión, el microtráfico y el desplazamiento intraurbano. Incluso EL COLOMBIANO conoció que al interior del gobierno hay dialogados encontrados entre el alto Comisionado Rueda y el canciller Leyva —quien desde hace varios años ha tenido contactos con las organizaciones civiles de Medellín y ha mediado para el aterrizaje de exparas y capos a la JEP—, pues algunos creen que a los capos que están en la cárcel se les puede otorgar el estatus de gestores de paz, mientras que quienes apoyan el acogimiento y la idea de Sinergia creen que estos capos debe tener un careo con las comunidades a las que pertenecen y las autoridades para allí encontrar una medida de justicia. Dice el documento de Sinergia que está en el Congreso: “El acogimiento es una figura que propende por el diálogo, la reconciliación, el perdón, la convivencia y la inclusión, que utiliza la justicia transicional y restaurativa para contribuir a la construcción de paz desde los territorios y así vislumbrar un futuro esperanzador para las nuevas generaciones”. Un temor de la oposición: que la justicia se encuentre en el careo con las comunidades, pues los criminales pueden influir en ellas. Sucede, por ejemplo, que estructuras como El Mesa, La Terraza y Los Pachelly, aseguran tener un trabajo político en los barrios, tesis que nadie puede comprobar y que para muchos suena más como una excusa para subir su estatus de narcotraficantes. Aquí está uno de los puntos por los que esta paz no funcionó con el gobierno de Juan Manuel Santos: era un sapo difícil de tragar.  Dice el proyecto: “El mecanismo de acogimiento para los procesos de paz, fue incorporado formalmente al orden jurídico mediante el acuerdo suscrito entre el gobierno nacional y la FARC EP, en su numeral 3.4.13 y serán las comunidades las encargadas de desarrollarla”. Después de la masacre a policías en zona rural de Neiva, el expresidente Álvaro Uribe Vélez tuiteó: “Dolor profundo con el asesinato de los policías. Los terroristas se burlan de la generosidad, son desdeñosos con las ofertas sociales, fortalecen su capacidad delictiva con la impunidad. Al terrorismo solamente lo arredra la autoridad”. En ese trino ya se puede sopesar lo que será la “Paz Total” en el Congreso. Pero la carta que tiene el petrismo debajo de la mano es el cambio en la lucha contra las drogas, es decir, la legalización. En toda esta maraña, Medellín es clave. La obsesión de Petro es llegar a un gran consenso nacional en el que la paz urbana reine. El objetivo de Daniel Prado cuando vino a Medellín fue encontrar esos acuerdos y, un detalle que no es menor, en ese momento no se vio con el alcalde Daniel Quintero, él terminó aterrizando por medio de sus enlaces en la comuna Oriental y la secretaría de Noviolencia. Justo Quintero es otro de los factores de la “Paz Total”, pues entre las ideas que baraja el gobierno es hacer conversaciones de paz con las comunidades afectadas por la guerra urbana —idea que también nació con el Movimiento Sinergia— y en ese escenario es importante asegurar a las alcaldías de las ciudades donde la criminalidad está totalmente organizada. Mientras llega el momento de la “Paz Total” —si pasa en el Congreso y el Gobierno logra unir a los ciudadanos alrededor de la idea—, Medellín vive una paz suave. Justo pocos días atrás hubo siete días sin homicidios que, dicen desde la criminalidad, se deben a aquella reunión en que los capos decidieron no atacarse, bajar la violencia, porque no quieren contaminar el agua de su propia negociación.",https://www.elcolombiano.com/antioquia/seguridad/medellin-sera-clave-para-la-paz-total-del-gobierno-de-gustavo-petro-EL18572420
Esté atento: estos corredores viales de Medellín tendrán cierres este fin de semana ,La mayoría de los cierres tiene relación con problemas de infraestructura u obras de mitigación.," Por lo menos cuatro corredores viales registrarán cierres entre este sábado y domingo en Medellín, según informó la Secretaría de Movilidad. Las restricciones cubren sectores del norte y sur de la ciudad. El primer cierre tendrá lugar en Villatina, en las inmediaciones de la carrera 15 con la calle 52. Aunque las rutas de transporte público cuentan con desvíos, estará habilitada la calle 52, que conduce al barrio Caicedo. No muy lejos, en Manrique, la restricción operará en la carrera 44, entre las calles 82 y 83, debido a las obras de mitigación que allí se ejecutan tras el hundimiento de la banca. En la avenida Las Palmas habrá dos novedades: una tiene que ver con el cierre parcial a la altura del Hotel Intercontinental, entre las 9:00 de la noche y las 4:00 de la mañana por obras de mitigación. Se podrán tomar vías alternas, como la Loma de los Balsos y la vía Loreto. El domingo, por su parte, habrá contraflujo en la transversal superior, entre Hato Viejo y la Loma del Padre Marianito, en sentido oriente - Medellín, entre las 5:00 de la tarde y las 8:00 de la noche. Debido a este panorama, el despacho de Movilidad recomendó consultar su cuenta a través de redes sociales (@sttmed) para conocer si se registran otras novedades. Seguir las indicaciones de los agentes de tránsito y conducir con precaución se contaron entre las recomendaciones.",https://www.elcolombiano.com/antioquia/cierres-en-vias-de-medellin-antioquia-6-y-7-de-agosto-LJ18334348
Revise bien antes de salir: este es el pico y placa que rige este viernes en Medellín,Las sanciones si incumple la restricción puede imponerlas cualquier autoridad de tránsito de los 10 municipios del área metropolitana.," Para este viernes 28 de octubre los vehículos particulares con placas terminadas en 2 y 0, y las motos de dos y cuatro tiempos que tengan el primer dígito con estos mismos números deben cumplir la medida de pico y placa. Como es habitual, la restricción aplica entre las 5:00 de la mañana y las 8:00 de la noche. Si la incumple, podría ser sancionado, con multas de $499.500 o la inmovilización del vehículo, por cualquier autoridad competente en jurisdicción de los 10 municipios del Valle de Aburrá: Medellín, Envigado, Itagüí, La Estrella, Sabaneta, Caldas, Barbosa, Copacabana, Bello y Girardota. Recuerde también que las vías exentas de la medida por las que puede circular son la autopista Sur (Medellín e Itagüí), la avenida Regional (Medellín y Bello), la vía Las Palmas y su conexión con el Sistema Vial del Río por la avenida 33, las laterales de la quebrada La Iguaná (como ruta de acceso al túnel de Occidente) y los cinco corregimientos en Medellín, la autopista Medellín-Bogotá y la vía Pajarito-San Pedro de los Milagros en Bello. En la avenida Regional, en Envigado, y en la autopista Sur, en Itagüí, rige la restricción, informaron las autoridades de estas localidades. También están exentos de la medida los vehículos particulares y oficiales tipo moto, mototriciclo, tricimoto y ciclomotor de dos y cuatro tiempos que sean usados para la entrega de domicilios o mensajería, siempre y cuando tengan el permiso para hacerlo. Lea también: Por evitar que lo multaran por incumplir el pico y placa, motociclista quemó su moto Entre tanto, las autoridades de movilidad de la ciudad informaron que este viernes hay congestión en la autopista Norte a la altura de muebles Juventud, sentido norte-sur, debido a un incidente vila, por lo cual se debe transitar con precaución. Hay congestión también, por alto flujo vehicular, en la autopista Norte a la altura de Solla, en sentido norte-sur, y en la avenida Paralela a la altura de la Quebrada Tinajas, en ese mismo sentido. La Secretaría de Movilidad de Medellín indicó también que la movilidad es fluida en ambos sentidos en la avenida Guayabal, a la altura del Centro Empresarial Olaya Herrera; la Avenida Oriental a la altura de Villa Nueva; la avenida Las Palmas a la altura del restaurante Asia; la avenida 80 a la altura de la calle 30; y en la avenida San Juan a la altura de Barrio Triste.",https://www.elcolombiano.com/antioquia/pico-y-placa-medellin-hoy-viernes-28-de-octubre-2022-DI18980571
"Asesinan a tres hombres, entre ellos dos extranjeros, en comuna de Robledo",Los victimarios utilizaron armas de fuego para cometer el triple homicidio. Conozca los detalles.," Tres hombres, entre ellos dos extranjeros, fueron asesinados hacia la medianoche del martes en el occidente de Medellín, según revelaron las autoridades. En su informe diario, el Sisc (Sistema de Información para la Seguridad y la Convivencia) se incluye el reporte de este triple homicidio, cuyas víctimas fueron identificadas como Edison Noel Pereira Pineda, de 21 años; Darwin Alejandro Ochoa Batista, de 20; y Víctor Hugo Echeverri Moreno, de 48. Los cadáveres de las tres víctimas fueron hallados en un sector de la vía al Mar y la inspección de los cuerpos se realizó a las 11 y 40 de la noche. De los dos jóvenes solo se informó que eran migrantes, pero no se reportó su nacionalidad. Las autoridades buscan esclareces los móviles y autores de este triple crimen ocurrido en la comuna 7, Robledo.",https://www.elcolombiano.com/antioquia/seguridad/triple-homicidio-en-la-comuna-7-robledo-CH16997885
¿Ya revisó? Este es el pico y placa para este martes en Medellín y el Valle de Aburrá,Persiste el cierre en la loma del centro comercial El Tesoro por la caída de un poste.," Evite sanciones. Para este martes 25 de octubre el pico y placa en Medellín y los otros nueve municipios del Valle de Aburrá les corresponde a los vehículos particulares con placas terminadas en 9 y 8 y a las motos de dos y cuatro tiempos que tengan el primer dígito con estos mismos números. La restricción, recordó la Secretaría de Movilidad, se mantiene entre las 5:00 de la mañana y las 8:00 de la noche, tal como aplica desde la rotación que se inició el pasado 18 de julio, con el fin de evitar sanciones por incumplimiento. Quienes no respeten la restricción podrán ser castigados con multas de $499.500 e, incluso, la inmovilización del vehículo. Recuerde que las sanciones a los infractores pueden ser implementadas por los agentes de tránsito de cualquiera de los 10 municipios del área metropolitana: Medellín, Envigado, Itagüí, La Estrella, Sabaneta, Caldas, Barbosa, Copacabana, Bello y Girardota. Las autoridades de movilidad también recordaron que están exentos de la medida los vehículos particulares y oficiales tipo moto, mototriciclo, tricimoto y ciclomotor de dos y cuatro tiempos que sean usados para la entrega de domicilios o mensajería, siempre y cuando tengan el permiso para hacerlo. Las vías exentas de la medida por las que puede circular son la autopista Sur (Medellín e Itagüí), la avenida Regional (Medellín y Bello), la vía Las Palmas y su conexión con el Sistema Vial del Río por la avenida 33, las laterales de la quebrada La Iguaná (como ruta de acceso al túnel de Occidente) y los cinco corregimientos en Medellín, la autopista Medellín-Bogotá y la vía Pajarito-San Pedro de los Milagros en Bello. En la avenida Regional, en Envigado, y en la autopista Sur, en Itagüí, rige la restricción, informaron las autoridades de estas localidades. Lea también: En Barbosa “celebran” con bombas los cuatro años de un deslizamiento En este segundo semestre del año, los taxis cuya placa tenga como último dígito el número 9 también deberán cumplir la medida este martes 25 de octubre, entre las 6:00 de la mañana y las 8:00 de la noche. Así están algunas vías  Entre tanto, desde la Secretaría de Movilidad recordaron que esta mañana, debido a un poste caído, sigue el cierre en la loma del centro comercial El Tesoro (carrera 29 entre calles 3 y 1), por lo cual se recomienda transitar con precaución y tomar vías alternas. En el lugar se encuentran agentes de tránsito para atender la novedad. Puede interesarle: Inundaciones y crecientes son el pan de cada día de la ola invernal Asimismo, reportaron congestiones por alto flujo vehicular en la autopista Norte a la altura de Solla, en sentido Norte-Sur; la avenida Paralela a la altura de la Quebrada Tinajas, en sentido Norte-Sur; la autopista Sur a la altura de Coltabaco, en ambas calzadas; la autopista Sur a la altura de Suramericana, también en ambas calzadas; y la autopista Sur a la altura de Carlos E. Restrepo. Entre tanto, hay una movilidad fluida en la avenida El Poblado a la altura de Astor, la avenida Las Palmas a la altura de Chuscalito, y la avenida San Juan a la altura de Barrio Triste.",https://www.elcolombiano.com/antioquia/pico-y-placa-medellin-hoy-martes-25-de-octubre-KF18954538
Condenan a 28 años de cárcel a dos hombres por secuestro de universitaria en el barrio Castilla ,Los sentenciados pretendían cobrar una alta suma de dinero pero fueron capturados por el Gaula.," Dos hombres hallados culpables del secuestro de una estudiante universitaria de Medellín fueron condenados a penas de 28 años cada uno, en una sentencia emitida en las últimas horas por un juez de la República. Los sentenciados fueron Jonathan Pineda Mosquera y Juan David Vargas Jiménez, ambos de 22 años, quienes lograron un preacuerdo con la Fiscalía General de la Nación, el cual fue avalado por el juez que llevó el caso. Los hechos se remontan al pasado 20 de febrero, cuando los dos hombres hicieron bajar de un taxi a una estudiante de sexto semestre de ingeniería de una universidad de la ciudad y posteriormente la condujeron a una casa en el barrio Popular 1, nororiente de Medellín, donde permaneció varios días secuestrada mientras los victimarios exigían una alta suma de dinero a sus familiares para dejarla en libertad. Esta intención se vio frustrada tres días después, cuando el Gaula capturó a Pineda Mosquera cuando pretendía recibir una parte del dinero exigido. Vargas Jiménez fue detenido luego en flagrancia en el inmueble donde la víctima fue rescatada por el grupo antisecuestro. La investigación fue adelantada por un fiscal destacado ante el Gaula Medellín. Por estos mismos hechos fue capturado Diego Alejandro Jaramillo Guzmán, quien era la persona que custodiaba a la víctima cuando los uniformados llegaron a su rescate. Este proceso se encuentra en etapa de juicio oral, informó la Fiscalía.",https://www.elcolombiano.com/antioquia/carcel-para-hombres-que-secuestraron-a-una-estudiante-universitaria-en-medellin-JB18800494
"Aumenta la recompensa por alias Richard, presunto autor del ataque en Cañasgordas","El ministro de Defensa, Diego Molano, aumentó en 150 millones la cifra para dar con el paradero del miembro del Clan del Golfo."," Tras el atentado en el municipio de Cañasgordas en la mañana de este sábado, el ministro de Defensa, Diego Molano, y el gobernador encargado de Antioquia, Juan Pablo Cortés, acordaron aumentar la recompensa de 50 a 200 millones de pesos por Wilmar Albeiro Mejía Úsuga, alias Richard, cabecilla de la subestructura Edwin Román Velásquez Valle del Clan del Golfo y quien sería el presunto autor del ataque. Molano rechazó el ataque, que calificó como un “acto terrorista” y que cobró la vida del patrullero Sergio Orlando Vergara Atehortúa y un civil aún sin identificar. Cuatro patrulleros resultaron heridos. El ministro indicó que la instrucción es reforzar las operaciones en el departamento, las cuales se desarrollarán en compañía del general Fernando Murillo, director de la Dijín.  Por su parte, el gobernador encargado agradeció a las Fuerzas Militares por la rápida reacción y mandó un mensaje de solidaridad a las familias afectadas, la institución y al Ejército, que en los últimos días ha sido blanco de este tipo de ataques. “Vamos a trabajar de la mano con el Gobierno nacional y los municipios para lograr hechos concretos como el aumento de la recompensa y con ella la captura, ojalá lo más rápido posible, de alías Richard, y por supuesto para desplegar los dispositivos que sean necesarios en esta zona del Occidente de Antioquia”, puntualizó Cortés.",https://www.elcolombiano.com/antioquia/seguridad/recompensa-por-alias-richard-del-clan-del-golfo-presunto-autor-del-atentado-en-canasgordas-antioquia-MP18065768
